name,realm,cls
Phearbunny,bleeding-hollow,deathknight
Bloodbukkaky,bleeding-hollow,deathknight
Valind,eredar,deathknight
Blasphemus,malganis,deathknight
Tristam,area-52,deathknight
Pagumon,moon-guard,deathknight
Partywaffles,illidan,deathknight
Níngjìng,tichondrius,deathknight
Graphics,moon-guard,deathknight
Veilsidé,kelthuzad,deathknight
Plagueflavor,tichondrius,deathknight
Spaidzz,malganis,deathknight
Chillbayné,the-scryers,deathknight
Vineyard,area-52,deathknight
Scriptløl,sargeras,deathknight
Zynyzter,malganis,deathknight
Roidboy,illidan,deathknight
Neroxz,area-52,deathknight
Áethros,malganis,deathknight
Sinell,kargath,deathknight
Lattè,area-52,deathknight
Achílles,sargeras,deathknight
Xebane,frostmourne,deathknight
Wøund,black-dragonflight,deathknight
Anatøly,ragnaros,deathknight
Serwestley,stormrage,deathknight
Éternalnight,tichondrius,deathknight
Flizzycash,malganis,deathknight
Cavaliers,ragnaros,deathknight
Necrôtic,area-52,deathknight
Infectik,tichondrius,deathknight
Grimiz,tichondrius,deathknight
Kaeligh,ragnaros,deathknight
Starshopping,proudmoore,deathknight
Apøçálýpsé,firetree,deathknight
Nevmic,emerald-dream,deathknight
Dkya,tichondrius,deathknight
Nixonxx,tichondrius,deathknight
Boneyards,bleeding-hollow,deathknight
Xiaodabaolol,tichondrius,deathknight
Morbiddesire,stormrage,deathknight
Haldevarik,doomhammer,deathknight
Riddles,maiev,deathknight
Noik,azralon,deathknight
Orkky,jubeithos,deathknight
Imadkloldie,frostmourne,deathknight
Altareon,ragnaros,deathknight
Aldebamuu,ragnaros,deathknight
Drauguss,azralon,deathknight
Spacealien,malganis,deathknight
Nalz,drakkari,deathknight
Mephostophel,sargeras,deathknight
Släke,azralon,deathknight
Ligmagooch,tichondrius,deathknight
Justafkdk,gorefiend,deathknight
Dialysis,emerald-dream,deathknight
Sannistus,ysera,deathknight
Properterps,bonechewer,deathknight
Hwml,barthilas,deathknight
Paratekdk,thrall,deathknight
Wheatasil,garona,deathknight
Khaíne,wyrmrest-accord,deathknight
Orphanmakerx,area-52,deathknight
Yubell,barthilas,deathknight
Puppykisses,perenolde,deathknight
Kaaizer,azralon,deathknight
Carryme,quelthalas,deathknight
Kwolve,proudmoore,deathknight
Grimmdreamer,stormrage,deathknight
Dashinglee,proudmoore,deathknight
Typhøn,illidan,deathknight
Ousted,daggerspine,deathknight
Zerhistran,proudmoore,deathknight
Aradorn,azralon,deathknight
Mortarîon,moon-guard,deathknight
Xibbas,illidan,deathknight
Ullísés,ragnaros,deathknight
Asheravon,moon-guard,deathknight
Arc,maiev,deathknight
Drpepp,bleeding-hollow,deathknight
Allhejluya,illidan,deathknight
Wastethis,sargeras,deathknight
Aurious,lightnings-blade,deathknight
Zìlêán,tichondrius,deathknight
Zerøimperial,quelthalas,deathknight
Zaluster,malganis,deathknight
Nialich,kelthuzad,deathknight
Kalgor,illidan,deathknight
Fellenn,stormrage,deathknight
Corrpsse,tichondrius,deathknight
